meanR,meanG,meanB,meanS,meanV,stdR,stdG,stdB,stdS,stdV,clase
1.5633,2.7904,4.7519,58.208,163.2865,11.0188,19.4328,32.936,32.1245,49.5574,fuego
7.030222,14.944561,34.321658,132.657336,138.864298,17.832425,39.25595,82.198336,62.51979,62.878706,fuego
0,0,0,41.3555,145.9562,0,0,0,19.8026,56.4914,fuego
5.2976,8.1901,9.6455,146.7991,110.9185,9.4604,14.5008,16.9992,58.282,86.1264,no_fuego
0.130747,0.243115,0.233547,218.66452,134.737093,2.072298,0.695695,0.481367,21.137157,54.057019,no_fuego
6.067623,6.866156,7.937636,91.984574,82.197579,12.541733,15.182977,15.44501,66.134052,64.300802,no_fuego
51.56683,50.785558,49.451692,65.217302,103.208712,67.475439,67.299283,66.350792,63.290568,52.97217,humo
0.8256,1.3776,2.5757,46.5604,70.0266,7.8085,12.7856,23.7031,53.7245,35.5102,fuego
1.023673,1.712166,4.035487,40.956706,147.074224,6.654115,21.30212,22.724014,39.936464,57.421692,fuego
6.2485,6.506,6.5461,85.3049,87.6749,12.3297,12.7708,13.0682,57.3987,49.5931,no_fuego
61.3393,53.9586,57.0343,65.2734,117.9302,75.6838,66.5144,71.6789,37.5235,66.0332,humo
28.6698,32.8103,30.7242,119.8422,114.1214,52.0661,59.1402,56.2709,64.0228,49.5463,humo
3.5718,3.9245,4.4662,85.3049,87.6749,18.0131,19.8648,22.7415,57.3987,49.5931,humo
5.3424,5.1999,5.5231,134.4291,113.2374,12.8227,13.2663,13.7816,48.4629,81.6537,no_fuego
34.060691,37.615033,40.97987,64.936895,114.113087,53.20726,58.725297,63.80413,47.36078,45.252317,humo
3.577224,5.842765,9.383568,64.936895,114.113087,17.572545,28.432639,44.375568,47.36078,45.252317,fuego
129.8002,142.1789,147.4035,34.1267,160.8545,52.1488,57.6625,58.5872,18.4451,32.4848,humo
0.107,0.2576,0.5216,54.9279,84.3056,2.3972,5.4491,10.9342,64.1818,52.0279,fuego
26.1197,29.276,34.4115,130.494,140.3401,46.2153,51.7219,60.7236,62.0417,58.3072,humo
0.714572,2.325482,1.26992,134.553383,112.562925,14.757209,15.822168,24.505382,61.938855,80.907257,humo
1.0507,2.2185,4.1862,96.7987,82.4662,8.4306,16.7811,31.2375,67.3061,58.4885,fuego
6.424532,8.934994,17.641259,70.038345,136.594777,20.550358,31.327758,63.233614,58.5739,50.454792,fuego
8.317786,10.13035,10.397622,151.504854,157.005053,29.759791,36.163435,36.263594,47.336414,57.389948,humo
40.017023,38.960043,40.467043,78.977227,109.40992,66.945238,65.809514,68.512082,53.986231,76.148173,humo
40.4795,33.4188,34.2309,89.0852,122.7403,76.9321,63.7979,64.9433,43.9298,62.9865,humo
0.221708,0.671023,2.366137,48.07945,83.037644,6.391752,9.934972,19.502535,54.065499,40.55936,fuego
2.095712,3.829344,7.124074,81.002729,91.552211,13.203829,22.516378,41.344317,45.282081,54.852816,fuego
3.119455,5.442087,5.571975,150.942068,104.824641,8.552084,11.755777,17.080566,59.789559,73.906313,no_fuego
29.358987,25.522521,21.6584,100.000944,132.449966,54.394514,50.476216,56.212253,45.748741,67.929382,humo
9.6369,12.8566,13.0424,46.5604,70.0266,15.5116,20.283,20.7184,53.7245,35.5102,no_fuego
5.403483,6.717507,7.429411,93.065139,83.165849,12.043345,16.293626,16.540705,66.992885,61.397112,no_fuego
79.7861,79.9247,80.3934,76.2047,136.0189,71.0426,70.7389,71.0514,77.1809,51.9279,humo
14.6247,14.3885,15.5555,83.2215,91.1969,43.3779,42.5923,45.9972,43.7253,52.4831,humo
0.5854,1.2368,1.9848,46.2556,139.3746,6.4286,13.1447,20.9121,38.6166,55.5049,fuego
0.26904,0.738461,1.140292,96.256775,131.610783,3.950044,9.875674,13.561982,63.238708,52.949418,fuego
4.955338,4.585808,6.921315,76.020684,97.152838,19.640203,25.999478,27.786794,52.831641,49.131479,humo
4.384478,7.310983,20.331153,179.907052,108.102503,13.435224,38.64368,60.284017,40.184301,73.495761,fuego
78.369119,78.314779,77.811141,74.262571,128.782569,75.022429,75.679267,74.349883,63.320875,53.872459,humo
106.321514,113.461273,107.288964,41.646837,164.889194,75.593335,89.556316,83.919501,34.895258,52.928419,humo
5.0055,5.9214,6.5386,50.8791,116.4069,12.3333,14.6961,16.1948,38.6354,65.3463,no_fuego
14.359385,8.540965,20.038762,142.416304,157.158985,36.674719,35.771493,42.339897,56.69157,61.155107,humo
1.1386,3.0173,5.2017,73.4885,127.5654,8.4938,19.7088,33.6555,62.3442,54.0623,fuego
2.0584,1.8164,1.5992,52.957,144.7523,8.9716,7.9489,7.1894,50.1993,50.2704,no_fuego
3.56125,5.719535,8.969846,65.079968,114.100452,17.312204,27.770798,44.562312,46.910151,45.350148,fuego
0.870865,3.1623,9.928387,149.704387,102.424619,12.326176,28.563355,44.665455,76.298871,61.759081,fuego
0.5501,1.7657,2.7178,115.6652,134.3894,5.1014,15.3224,23.5544,60.5727,48.8109,fuego
2.9373,7.8928,17.4325,76.1259,135.908,11.2824,27.7278,60.9468,77.1771,51.1802,fuego
105.6513,105.3502,108.255,35.2578,150.4354,75.1774,74.2243,74.8679,34.6894,46.2154,humo
0.857689,1.663005,1.524708,58.018942,146.765889,7.228857,9.830121,8.451214,42.249051,53.86416,no_fuego
5.4263,8.2714,8.1243,96.7987,82.4662,11.471,16.2994,15.9513,67.3061,58.4885,no_fuego
0.758779,1.498196,1.436072,135.623646,68.336812,6.876306,8.914155,11.000451,47.779332,75.077035,humo
15.7049,16.8563,19.7852,149.2824,91.3019,40.9626,44.0202,51.311,62.8768,61.5114,humo
2.1146,3.635,7.5483,99.142,118.6344,12.0428,19.2457,39.5968,60.8449,52.4689,fuego
3.1152,3.741,2.8134,102.8812,142.4366,10.2808,12.5679,9.5084,43.4097,68.0132,no_fuego
0.8688,1.4629,2.0077,76.2047,136.0189,4.6216,7.073,9.6017,77.1809,51.9279,no_fuego
2.0715,3.406,6.9512,89.0852,122.7403,12.2162,19.6824,39.1679,43.9298,62.9865,fuego
1.6893,2.7251,2.1354,43.5907,157.0095,8.4196,13.6354,10.8032,29.9871,49.6435,no_fuego
59.7952,59.1629,57.2009,67.1685,113.9053,73.0048,71.8881,70.2394,54.1259,54.3376,humo
6.108671,9.508411,8.763535,62.715644,110.581123,12.52464,19.77769,19.215023,48.285065,53.831028,no_fuego
3.834827,6.509331,12.358331,48.07945,83.037644,14.192078,16.354679,17.124506,54.065499,40.55936,no_fuego
20.9449,26.7754,32.6127,128.1007,155.793,44.8891,57.5537,70.0535,45.9288,64.1125,humo
41.4907,47.267,54.0446,115.6652,134.3894,55.8948,63.3321,72.1215,60.5727,48.8109,humo
4.6741,12.9869,22.712,100.8912,118.2937,15.48,40.2706,69.5608,73.5092,69.5621,fuego
4.9732,5.4091,6.3221,65.2734,117.9302,11.4392,12.8671,15.2848,37.5235,66.0332,no_fuego
14.559341,14.187747,14.821766,65.727956,73.645794,43.367688,37.594446,44.584941,46.420575,48.68944,humo
1.0157,2.6563,4.5613,73.3048,127.4349,8.0792,18.4182,31.3436,61.659,52.9799,fuego
2.4604,3.4064,3.7712,40.632,169.5722,8.6179,11.973,13.3596,44.5224,63.3442,no_fuego
0.324141,0.35687,0.787154,42.824981,143.090461,5.077624,10.989667,13.310747,23.297929,44.285564,fuego
95.2655,85.8398,92.7082,62.788,158.0275,72.3428,65.3645,71.1326,44.4217,50.0069,humo
4.056455,6.1813,6.647443,120.874794,124.067195,28.970976,28.504954,33.696544,69.311751,59.395552,humo
1.1512,4.8793,8.9122,242.5399,135.5461,6.5868,24.4576,43.8376,19.3473,54.903,fuego
3.264651,5.678077,15.481731,85.476597,94.782268,13.606721,26.319033,60.475974,57.475788,59.26755,fuego
24.651692,29.265581,31.472867,133.882866,123.968706,53.523548,65.262641,69.266983,71.05204,74.761439,humo
0.2747,1.2018,4.0749,156.7275,112.8514,3.4828,9.8281,30.2148,82.2596,62.527,fuego
6.406616,14.521267,24.327252,152.395438,101.193987,19.611072,38.586155,69.988233,49.583699,73.456997,fuego
